Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,3,B18,72,hr,1389,4520,5740,0.7874,0.7796
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,1,B17,72,hr,1389,2378,5147,0.4620,0.3291
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,2,B17,72,hr,1389,3672,5447,0.6740,0.6373
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,3,B17,72,hr,1389,3185,5740,0.5548,0.4999
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,1,B16,72,hr,1389,1789,5147,0.3476,0.1433
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,2,B16,72,hr,1389,2023,5447,0.3713,0.2101
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,3,B16,72,hr,1389,1837,5740,0.3200,0.1463
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,1,B15,72,hr,1389,1297,5147,0.2520,-0.0356
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,2,B15,72,hr,1389,1716,5447,0.3150,0.1132
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,3,B15,72,hr,1389,1628,5740,0.2836,0.0806
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,1,B14,72,hr,1389,1347,5147,0.2617,-0.0161
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,2,B14,72,hr,1389,1508,5447,0.2768,0.0426
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,3,B14,72,hr,1389,1611,5740,0.2806,0.0751
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,1,B13,72,hr,1389,1379,5147,0.2679,-0.0038
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,2,B13,72,hr,1389,1632,5447,0.2996,0.0852
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,3,B13,72,hr,1389,1755,5740,0.3057,0.1210
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,1,B12,72,hr,1389,5066,5772,0.8776,0.8769
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,3,B12,72,hr,1389,5170,6038,0.8562,0.8588
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,1,B11,72,hr,1389,4540,5772,0.7865,0.7794
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,3,B11,72,hr,1389,4572,6038,0.7571,0.7540
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,1,B10,72,hr,1389,3444,5772,0.5966,0.5556
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,3,B10,72,hr,1389,4197,6038,0.6950,0.6847
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,1,B09,72,hr,1389,2186,5772,0.3787,0.2469
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,3,B09,72,hr,1389,2560,6038,0.4240,0.3343
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,1,B08,72,hr,1389,1569,5772,0.2718,0.0611
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,3,B08,72,hr,1389,1723,6038,0.2853,0.1070
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,1,B07,72,hr,1389,899,5772,0.1557,-0.1908
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,3,B07,72,hr,1389,1081,6038,0.1790,-0.1115
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,1,A24,72,hr,1389,3732,5147,0.7251,0.6871
